PortName,PortLat,PortLong
Port of Rochefort,45.949,-0.9547200000000001
Port of Tinian,14.964,145.62
Port of Ceuta,35.89,-5.3164
Port of Oban,56.413000000000004,-5.4753
Port of Grytviken,-54.283,-36.495
Port of Arklow,52.794,-6.1439
Port of Leros Island,37.129,26.853
Port of Ryazan,54.645,39.763000000000005
Port of Montrose,56.70399999999999,-2.4686
Port of Talamone,42.555,11.134
Port of Rahja,64.223,23.714000000000002
Klintholm Havn,54.953,12.465
Port of Karmsund,59.387,5.2861
Hundested Havn,55.961999999999996,11.847000000000001
Port of Oskemen,49.943000000000005,82.62700000000001
Port of Lokoja,7.7922,6.7478
Cemex Alcanar,40.571,0.55
Port of Safaga,26.741999999999997,33.946
Port of Chartres,-51.713,-60.082
Porto di Savelletri,40.874,17.41
Port of Anqing,30.502,117.02
Puerto Ingeniero White,-38.792,-62.266000000000005
Port of Apapa,6.4453,3.4261
Port of Forno,-22.971999999999998,-42.016000000000005
Port of Joliet,41.533,-88.083
Port of Zliten,32.5,14.571
Port of Virac,13.582,124.23
Port of Fox,-51.956,-60.073
Kirkcudbright Harbor,54.838,-4.055
Port of Gopalpur,19.303,84.965
Port of Changshu,31.761999999999997,120.96
Burdwood Bay,50.17100000000001,-125.1
Port of Eze,43.716,7.3508
Port of Yingkou,40.696,122.24
Port of Santo Domingo,18.475,-69.881
Port of Ajdabiya,30.899,20.073
Port of Burtonport,54.983000000000004,-8.4408
Port of Rethimnon,35.37,24.48
Port of Port Saint Louis,-13.092,48.843999999999994
Port of Wallaroo,-33.928000000000004,137.62
Port of Uusikaupunki,60.79600000000001,21.386999999999997
Port of Ajdabiya,30.899,20.072
Port of Liege,50.651,5.6069
Port of Almeria,36.832,-2.4739
Cala Bitta Harbor,41.126999999999995,9.4697
Port of Jiamusi,46.818999999999996,130.36
Thorsminde Havn,56.369,8.1203
Port of Menzel Bourguiba,37.162,9.8067
Port of Montereau,48.388999999999996,2.9586
Port of Hoedic,47.343999999999994,-2.8756
Port of Jucaro,21.618000000000002,-78.854
Port of Turku,60.438,22.215999999999998
Port of Shimotsu,34.116,135.13
Port of Bukhta Nagayeva,59.565,150.74
Rio Cullen Marine Terminal,-52.891000000000005,-68.339
Punto Franco,45.61600000000001,13.779000000000002
Minamisoma Harbor,37.668,141.03
Porto di Ventimiglia,43.788999999999994,7.5986
Kiabo Marine Terminal,-7.3331,12.583
Port of Sintete,1.2403,109.14
Port of Hagu,5.1942,97.148
Port of Jeremie,18.644000000000002,-74.111
Port of Gorinchem,51.831,4.9561
Port of Cesme,38.323,26.299
Lombo Marine Terminal,-6.8331,12.367
Skidegate Landing,53.246,-132.01
Port of Basse-Terre,15.995999999999999,-61.733000000000004
Port of Seattle,47.602,-122.37
Port of Rochefort,45.949,-0.95444
Port of Port Antonio,18.180999999999997,-76.453
Montague Harbor,46.166000000000004,-62.645
Port Taranaki,-39.056999999999995,174.04
Port of Burela,43.658,-7.3528
Pasito Blanco Harbor,27.746,-15.623
Port of Stromness,58.961999999999996,-3.2967
Fraserburgh Harbour,57.693000000000005,-1.9994
Port of Greenville,4.9894,-9.0417
Port of Larvik,59.043,10.037
Bagenkop Havn,54.751999999999995,10.672
Lucina Terminal,-3.6133,10.818
Port of Bula,-3.1011,130.5
