index,PortName,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3,HarborSize,HarborType,LAT,LONG
0,KEFLAVIK,64,0,N,22,33,W,V,OR,64.0,-22.55
1,STRAUMSVIK,64,3,N,22,3,W,V,CN,64.05,-22.05
2,HAFNARFJORDUR,64,4,N,21,57,W,V,CN,64.06666666666666,-21.95
3,SKERJAFJORDUR,64,9,N,22,1,W,V,CN,64.15,-22.016666666666666
4,REYKJAVIK,64,9,N,21,56,W,M,CB,64.15,-21.933333333333334
5,GRUNDARTANGI,64,16,N,22,0,W,M,CB,64.26666666666667,-22.0
6,BILDUDALUR,65,41,N,23,36,W,V,CN,65.68333333333334,-23.6
7,THINGEYRI,65,53,N,23,29,W,V,CN,65.88333333333334,-23.483333333333334
8,BOLUNGAVIK,66,10,N,23,14,W,V,CB,66.16666666666667,-23.233333333333334
9,ISAFJORDUR,66,4,N,23,7,W,V,CN,66.06666666666666,-23.116666666666667
10,BLONDUOS,65,40,N,20,18,W,V,OR,65.66666666666667,-20.3
11,SKAGASTROND,65,50,N,20,19,W,V,CN,65.83333333333333,-20.316666666666666
12,SAUDARKROKUR,65,45,N,19,40,W,V,CN,65.75,-19.666666666666668
13,SIGLUFJORHURD,66,9,N,18,55,W,V,CN,66.15,-18.916666666666668
14,OLAFSFJORDHUR,66,5,N,18,38,W,V,CN,66.08333333333333,-18.633333333333333
15,DALVIK,65,59,N,18,31,W,V,CB,65.98333333333333,-18.516666666666666
16,AKUREYRI,65,41,N,18,5,W,V,CN,65.68333333333334,-18.083333333333332
17,HUSAVIK,66,2,N,17,20,W,V,CN,66.03333333333333,-17.333333333333332
18,KOPASKER,66,17,N,16,27,W,V,CN,66.28333333333333,-16.45
19,RAUFARHOFN,66,27,N,15,56,W,V,CN,66.45,-15.933333333333334
20,VOPNAFJORDHUR,65,45,N,14,50,W,V,CN,65.75,-14.833333333333334
21,SEYDHISFJORDHUR,65,16,N,14,0,W,S,CN,65.26666666666667,-14.0
22,NESKAUPSTADUR,65,9,N,13,41,W,V,CN,65.15,-13.683333333333334
23,ESKIFJORDHUR,65,4,N,14,1,W,V,CN,65.06666666666666,-14.016666666666667
24,BUDIR,64,56,N,14,1,W,V,CN,64.93333333333334,-14.016666666666667
25,DJUPIVOGUR,64,40,N,14,17,W,V,CN,64.66666666666667,-14.283333333333333
26,HORNABJORDUR,64,15,N,15,14,W,V,CN,64.25,-15.233333333333333
27,VESTMANNAEYJAR,63,26,N,20,17,W,S,CN,63.43333333333333,-20.283333333333335
28,QUTDLEQ,61,31,N,42,13,W,V,CN,61.516666666666666,-42.21666666666667
29,KUSANARTOQ,61,46,N,42,13,W,S,CN,61.766666666666666,-42.21666666666667
30,NANORTALIK HAVN,60,7,N,45,12,W,V,CN,60.11666666666667,-45.2
31,QAQURTOQ,60,43,N,46,3,W,V,CN,60.71666666666667,-46.05
32,NARSAQ,60,55,N,46,3,W,V,CN,60.916666666666664,-46.05
33,NARSARSSUAQ,61,9,N,45,26,W,V,CN,61.15,-45.43333333333333
34,GRONNEDAL (KANGILINNGUIT),61,14,N,48,6,W,V,CN,61.233333333333334,-48.1
35,PAAMUIT (FREDERIKSHAB),62,0,N,49,40,W,S,CN,62.0,-49.666666666666664
36,KANGERLUARSORUSEQ,63,42,N,51,33,W,V,CN,63.7,-51.55
37,NUUK,64,11,N,51,45,W,S,CN,64.18333333333334,-51.75
38,MANIITSOQ,65,25,N,52,55,W,V,CN,65.41666666666667,-52.916666666666664
39,KANGAMIUT,65,49,N,53,18,W,V,CN,65.81666666666666,-53.3
40,SISIMIUT,66,55,N,53,42,W,S,CN,66.91666666666667,-53.7
41,KANGERLUSUAQ,66,58,N,50,57,W,V,CN,66.96666666666667,-50.95
42,ATTU,67,57,N,53,44,W,V,CN,67.95,-53.733333333333334
43,AASIAAT,68,42,N,52,52,W,S,CN,68.7,-52.86666666666667
44,QASIGIANNGUIT-CHRISTIANSHAB,68,49,N,51,11,W,V,CN,68.81666666666666,-51.18333333333333
45,ILLULISSAT (JAKOBSHAVN),69,13,N,51,6,W,S,CN,69.21666666666667,-51.1
46,QEQERTARSUAQ,69,14,N,53,32,W,S,CN,69.23333333333333,-53.53333333333333
47,NIAQORNAT,70,48,N,53,40,W,V,OR,70.8,-53.666666666666664
48,UUMMANNAQ HARBOR,70,41,N,52,9,W,S,CN,70.68333333333334,-52.15
49,KAJALLEQ UPERNAVIK,72,9,N,55,32,W,V,CN,72.15,-55.53333333333333
50,UPERNAVIK,72,46,N,56,9,W,V,CN,72.76666666666667,-56.15
51,PITUFFIK (THULE AIR BASE),76,32,N,68,52,W,V,CN,76.53333333333333,-68.86666666666666
52,POND INLET,72,45,N,76,45,W,M,OR,72.75,-76.75
53,PADLOPING ISLAND,67,2,N,62,44,W,V,CN,67.03333333333333,-62.733333333333334
54,PANGNIRTUNG,66,8,N,65,45,W,V,CN,66.13333333333334,-65.75
55,CHURCHILL,58,47,N,94,11,W,S,RN,58.78333333333333,-94.18333333333334
56,MARICOURT,61,36,N,71,57,W,V,CN,61.6,-71.95
57,SAGLEK BAY,58,35,N,62,50,W,V,CN,58.583333333333336,-62.833333333333336
58,HOPEDALE HARBOR,55,27,N,60,12,W,V,CN,55.45,-60.2
59,RIGOLET,54,11,N,58,25,W,V,CN,54.18333333333333,-58.416666666666664
60,NORTH WEST RIVER,53,32,N,60,9,W,V,RN,53.53333333333333,-60.15
61,GOOSE BAY,53,22,N,60,18,W,V,CN,53.36666666666667,-60.3
62,TERRINGTON BASIN,53,21,N,60,24,W,V,CN,53.35,-60.4
63,CARTWRIGHT HARBOR,53,42,N,57,2,W,S,CN,53.7,-57.03333333333333
64,BATEAU HARBOR,53,24,N,55,46,W,V,CN,53.4,-55.766666666666666
65,BATTLE HARBOR,52,16,N,55,35,W,V,CN,52.266666666666666,-55.583333333333336
66,ST ANTHONY HARBOR,51,22,N,55,35,W,S,CN,51.36666666666667,-55.583333333333336
67,CONCHE,50,53,N,55,54,W,V,CN,50.88333333333333,-55.9
68,RODDICKTON,50,52,N,56,8,W,S,CN,50.86666666666667,-56.13333333333333
69,WESTPORT COVE,49,47,N,56,37,W,V,CN,49.78333333333333,-56.61666666666667
70,SEAL COVE,49,56,N,56,23,W,V,CN,49.93333333333333,-56.38333333333333
71,LA SCIE HARBOR,49,58,N,55,37,W,V,CN,49.96666666666667,-55.61666666666667
72,LITTLE BAY,49,37,N,56,0,W,V,CN,49.61666666666667,-56.0
73,SPRINGDALE,49,30,N,56,4,W,S,CN,49.5,-56.06666666666667
74,FORTUNE HARBOR,49,32,N,55,14,W,S,CN,49.53333333333333,-55.233333333333334
75,BOTWOOD HARBOR,49,9,N,55,20,W,S,CN,49.15,-55.333333333333336
76,LEWISPORTE,49,15,N,55,3,W,V,CN,49.25,-55.05
77,TWILLINGATE HARBOR,49,40,N,54,46,W,V,CN,49.666666666666664,-54.766666666666666
78,BONAVISTA HARBOR,48,39,N,53,7,W,V,CB,48.65,-53.11666666666667
79,CATALINA HARBOR,48,30,N,53,5,W,S,CN,48.5,-53.083333333333336
80,PORT UNION,48,30,N,53,5,W,V,CN,48.5,-53.083333333333336
81,CLARENVILLE,48,9,N,53,57,W,S,CN,48.15,-53.95
82,CARBONEAR BAY,47,44,N,53,13,W,V,CN,47.733333333333334,-53.21666666666667
83,HARBOR GRACE,47,41,N,53,13,W,S,CN,47.68333333333333,-53.21666666666667
84,BAY ROBERTS HARBOR,47,35,N,53,16,W,V,CN,47.583333333333336,-53.266666666666666
85,ST JOHN'S,47,34,N,52,42,W,S,CN,47.56666666666667,-52.7
86,TREPASSEY HARBOR,46,44,N,53,24,W,V,CN,46.733333333333334,-53.4
87,ARGENTIA,47,18,N,53,59,W,M,CN,47.3,-53.983333333333334
88,COME BY CHANCE HARBOR,47,48,N,54,1,W,S,OR,47.8,-54.016666666666666
89,GREAT ST LAWR HARBOR,46,55,N,55,24,W,V,CN,46.916666666666664,-55.4
90,PORT DE ST PIERRE,46,47,N,56,10,W,S,CB,46.78333333333333,-56.166666666666664
91,GRAND BANK,47,6,N,55,45,W,S,CB,47.1,-55.75
92,BURGEO,47,36,N,57,37,W,V,CN,47.6,-57.61666666666667
93,PORT AUX BASQUES,47,34,N,59,8,W,S,CN,47.56666666666667,-59.13333333333333
94,STEPHENVILLE,48,32,N,58,32,W,V,CB,48.53333333333333,-58.53333333333333
95,ST GEORGE'S,48,27,N,58,27,W,S,CN,48.45,-58.45
96,CORNER BROOK,48,57,N,57,57,W,S,CN,48.95,-57.95
97,BLANC SABLON,51,25,N,57,8,W,V,RN,51.416666666666664,-57.13333333333333
98,HAVRE ST PIERRE,50,14,N,63,36,W,V,CN,50.233333333333334,-63.6
99,MINGAN,50,17,N,64,1,W,V,CN,50.28333333333333,-64.01666666666667
100,SEPT ILES,50,12,N,66,23,W,M,RN,50.2,-66.38333333333334
101,POINTE NOIRE,50,10,N,66,29,W,S,RN,50.166666666666664,-66.48333333333333
102,PORT CARTIER,50,2,N,66,47,W,V,RN,50.03333333333333,-66.78333333333333
103,MATANE,48,51,N,67,32,W,V,RN,48.85,-67.53333333333333
104,BAIE COMEAU,49,14,N,68,8,W,S,RN,49.233333333333334,-68.13333333333334
105,RIMOUSKI,48,27,N,68,31,W,S,RN,48.45,-68.51666666666667
106,TADOUSSAC,48,9,N,69,43,W,S,RN,48.15,-69.71666666666667
107,LA BAIE (PORT ALFRED),48,20,N,70,53,W,S,RN,48.333333333333336,-70.88333333333334
108,CHICOUTIMI (PORT SAGUENAY),48,26,N,71,4,W,S,RN,48.43333333333333,-71.06666666666666
109,RIVIERE DU LOUP,47,50,N,69,31,W,S,RN,47.833333333333336,-69.51666666666667
110,QUEBEC,46,49,N,71,13,W,M,RN,46.81666666666667,-71.21666666666667
111,PORT DE BECANCOUR,46,24,N,72,23,W,V,RN,46.4,-72.38333333333334
112,TROIS RIVIERES,46,21,N,72,33,W,M,RN,46.35,-72.55
113,SOREL,46,3,N,73,7,W,S,RN,46.05,-73.11666666666666
114,MONTREAL,45,31,N,73,33,W,L,RN,45.516666666666666,-73.55
115,VAUDREUIL,45,24,N,74,2,W,V,RN,45.4,-74.03333333333333
116,OKA SUR LE LAC,45,28,N,74,5,W,V,RN,45.46666666666667,-74.08333333333333
117,HUDSON,45,28,N,74,8,W,V,RN,45.46666666666667,-74.13333333333334
118,ST PLACIDE,45,32,N,74,12,W,V,RN,45.53333333333333,-74.2
119,ST ANDREWS EAST,45,34,N,74,20,W,V,RN,45.56666666666667,-74.33333333333333
120,CARILLON,45,34,N,74,22,W,V,RN,45.56666666666667,-74.36666666666666
121,CHUTE A BLONDEAU,45,35,N,74,28,W,V,RN,45.583333333333336,-74.46666666666667
122,GRENVILLE,45,38,N,74,36,W,V,RN,45.63333333333333,-74.6
123,HAWKESBURY,45,37,N,74,37,W,V,RN,45.61666666666667,-74.61666666666666
124,FASSETT,45,39,N,74,52,W,V,RN,45.65,-74.86666666666666
125,MONTEBELLO,45,39,N,74,56,W,V,RN,45.65,-74.93333333333334
126,PAPINEAUVILLE,45,37,N,75,1,W,V,RN,45.61666666666667,-75.01666666666667
127,THURSO,45,36,N,75,14,W,V,RN,45.6,-75.23333333333333
128,ROCKLAND,45,33,N,75,18,W,V,RN,45.55,-75.3
129,CUMBERLAND,45,31,N,75,24,W,V,RN,45.516666666666666,-75.4
130,MASSON,45,32,N,75,25,W,V,RN,45.53333333333333,-75.41666666666667
131,GATINEAU,45,29,N,75,39,W,V,RN,45.483333333333334,-75.65
132,OTTAWA,45,26,N,75,42,W,S,RN,45.43333333333333,-75.7
133,HULL,45,26,N,75,42,W,V,RN,45.43333333333333,-75.7
134,BEAUHARNOIS,45,19,N,73,53,W,V,LC,45.31666666666667,-73.88333333333334
135,COTEAU LANDING,45,15,N,74,12,W,V,LC,45.25,-74.2
136,ST ZOTIQUE,45,15,N,74,15,W,V,LC,45.25,-74.25
137,ST ANICET,45,8,N,74,22,W,V,RN,45.13333333333333,-74.36666666666666
138,SOUTH LANCASTER,45,8,N,74,30,W,V,RN,45.13333333333333,-74.5
139,CORNWALL,45,1,N,74,44,W,V,LC,45.016666666666666,-74.73333333333333
140,CARDINAL,44,47,N,75,23,W,V,LC,44.78333333333333,-75.38333333333334
141,LOWER LAKES TERMINAL,44,44,N,75,28,W,S,RN,44.733333333333334,-75.46666666666667
142,BROCKVILLE,44,35,N,75,40,W,V,CN,44.583333333333336,-75.66666666666667
143,ROCKPORT,44,23,N,75,56,W,V,RN,44.38333333333333,-75.93333333333334
144,GANANOQUE,44,20,N,76,10,W,V,RN,44.333333333333336,-76.16666666666667
145,WOLFE ISLAND,44,12,N,76,26,W,V,RN,44.2,-76.43333333333334
146,KINGSTON,44,14,N,76,30,W,V,CN,44.233333333333334,-76.5
147,OGDENSBURG,44,42,N,75,30,W,S,RN,44.7,-75.5
148,ALEXANDRIA BAY,44,20,N,75,55,W,V,RN,44.333333333333336,-75.91666666666667
149,CLAYTON,44,14,N,76,3,W,V,RN,44.233333333333334,-76.05
150,MILLHAVEN,44,12,N,76,44,W,V,CN,44.2,-76.73333333333333
151,PICTON,44,1,N,77,8,W,V,CN,44.016666666666666,-77.13333333333334
152,BELLEVILLE,44,9,N,77,24,W,S,CN,44.15,-77.4
