01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Durres,Port of Durres,Durres Port Authority,Kapitenerija e PortitL Nr 1 Rruga TregtareDurresAlbania,355 52 23115,355 52 22028,NAN,apd@san.com.al,NAN,"41° 18' 28"" N","19° 27' 17"" E",ALDRZ,Seaport,Small,41.30777777777777,19.454722222222223
Sarande,Port of Sarande,Sarande Port Authority,Port OfficeSarande PortSarandeAlbania,355 85 25827,355 85 25827,NAN,NAN,NAN,"39° 52' 19"" N","20° 0' 20"" E",ALSAR,"Pier, Jetty or Wharf",Small,39.871944444444445,20.005555555555556
Shengjin,Port of Shengjin,Shengjin Port Authority,ShengjinAlbania,NAN,NAN,NAN,NAN,NAN,"41° 48' 41"" N","19° 35' 17"" E",ALSHG,Harbor,Small,41.811388888888885,19.588055555555556
Arzew,Port of Arzew,Entreprise Portuaire d'Arzew,BP 467 Larbi TebessiArzew 31200Algeria,213 41 477127,213 41 477985,NAN,NAN,NAN,"35° 51' 17"" N","0° 18' 4"" W",DZAZW,Seaport,Small,35.85472222222222,-0.3011111111111111
Arzew El-Djedid,Port of Arzew El-Djedid,NAN,Arzew El-DjedidAlgeria,NAN,NAN,NAN,NAN,NAN,"35° 49' 8"" N","0° 15' 22"" W",NAN,Seaport,Medium,35.81888888888889,-0.2561111111111111
Beni Saf,Port of Beni Saf,Entreprise Portuaire de Beni Saf,Route du PortBeni SafAlgeria,213 43 225468,NAN,NAN,NAN,NAN,"35° 18' 20"" N","1° 23' 28"" W",DZBSF,Harbor,Small,35.30555555555555,-1.3911111111111112
Cherchell,Port of Cherchell,NAN,CherchellAlgeria,NAN,NAN,NAN,NAN,NAN,"36° 36' 39"" N","2° 11' 23"" E",DZCHE,Harbor,Small,36.61083333333333,2.189722222222222
Collo,Port of Collo,NAN,ColloAlgeria,NAN,NAN,NAN,NAN,NAN,"37° 0' 21"" N","6° 34' 12"" E",DZCOL,Harbor,Small,37.005833333333335,6.569999999999999
Dellys,Port of Dellys,Entreprise Portuaire de Dellys,DellysAlgeria,213 21 429377,NAN,NAN,NAN,NAN,"36° 54' 50"" N","3° 55' 2"" E",DZDEL,Harbor,Small,36.913888888888884,3.917222222222222
Djen Djen,Port of Djen Djen,Entreprise Portuaire de Djen Djen,BP 87Jijel 18000Algeria,213 034 44 65 64,213 034 44 52 60,NAN,epjdjendjen@wissal.dz,www.djendjen-port.com.dz,"36° 49' 27"" N","5° 53' 24"" E",DZDJE,Seaport,Small,36.82416666666667,5.89
Ghazaouet,Port of Ghazaouet,Enterprise Portuaire de Ghazaouet,BP 217Ghazaouet 13400Algeria,213 43 323345,213 43 326255,NAN,NAN,NAN,"35° 6' 14"" N","1° 51' 47"" W",DZGHA,Seaport,Small,35.10388888888889,-1.8630555555555557
Jijel,Port of Jijel,Entreprise Portuaire de Jijel,BP 87JijelAlgeria,213 34 965334,NAN,NAN,NAN,NAN,"36° 49' 22"" N","5° 46' 27"" E",DZDJI,Harbor,Small,36.82277777777778,5.774166666666667
Mers El Kebir,Port of Mers El Kebir,NAN,Mers El KebirAlgeria,NAN,NAN,NAN,NAN,NAN,"35° 43' 25"" N","0° 41' 10"" W",NAN,Seaport,Medium,35.72361111111111,-0.6861111111111111
Mostaganem,Port of Mostaganem,Entreprise Portuaire de Mostaganem,BP 131Mostaganem 27000Algeria,213 45 215938,213 45 217805,NAN,NAN,NAN,"35° 56' 4"" N","0° 4' 26"" E",DZMOS,Harbor,Small,35.93444444444444,0.07388888888888889
Oran,Port of Oran,Entreprise Portuaire d'Oran,1 Rue du 20 AoutOran 31000Algeria,213 41 332441,213 41 332498,NAN,NAN,NAN,"35° 42' 44"" N","0° 38' 23"" W",DZORN,Seaport,Medium,35.71222222222222,-0.6397222222222222
Port Methanier,Port Methanier,NAN,Port MethanierAlgeria,NAN,NAN,NAN,NAN,NAN,"36° 53' 11"" N","6° 56' 28"" E",NAN,Seaport,Small,36.88638888888889,6.941111111111112
